action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,2133739,[],CHEMBL922365,Binding affinity to bovine serum albumin,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)Cc1ccc(C(C)C(=O)O)cc1,,,CHEMBL1143986,Bioorg Med Chem,2008.0,"{'bei': '26.77', 'le': '0.50', 'lle': '2.45', 'sei': '14.81'}",CHEMBL521,IBUPROFEN,CHEMBL521,5.52,0,http://www.openphacts.org/units/Nanomolar,703885,=,1,1,=,,IC50,nM,,3000.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,3.0
,,6289430,[],CHEMBL1809870,Antiglycation activity in bovine serum albumin assessed as inhibition of fructosamines formation in presence of glucose,B,,,BAO_0000190,BAO_0000357,single protein format,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1806470,Bioorg Med Chem Lett,2011.0,,CHEMBL273019,BERGENIN,CHEMBL273019,,0,http://www.openphacts.org/units/Nanomolar,1445308,=,1,1,=,,IC50,nM,,163600.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,163.6
,,6289431,[],CHEMBL1809870,Antiglycation activity in bovine serum albumin assessed as inhibition of fructosamines formation in presence of glucose,B,,,BAO_0000190,BAO_0000357,single protein format,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](COC(=O)c3cccc(O)c3O)[C@@H](O)[C@H](O)[C@H]1OC2=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1806470,Bioorg Med Chem Lett,2011.0,,CHEMBL1808738,,CHEMBL1808738,,0,http://www.openphacts.org/units/Nanomolar,1445315,=,1,1,=,,IC50,nM,,321700.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,321.7
,,6289432,[],CHEMBL1809870,Antiglycation activity in bovine serum albumin assessed as inhibition of fructosamines formation in presence of glucose,B,,,BAO_0000190,BAO_0000357,single protein format,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](COC(=O)c3cc(O)c(O)c(O)c3)[C@@H](O)[C@H](O)[C@H]1OC2=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1806470,Bioorg Med Chem Lett,2011.0,,CHEMBL1808739,,CHEMBL1808739,,0,http://www.openphacts.org/units/Nanomolar,1445316,=,1,1,=,,IC50,nM,,183710.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,183.71
,,12637004,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '7.17', 'le': '0.14', 'lle': '6.07', 'sei': '1.62'}",CHEMBL226335,RUTIN,CHEMBL226335,4.38,0,http://www.openphacts.org/units/Nanomolar,1843598,=,1,1,=,,IC50,nM,,41900.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,41.9
,Not Active,12637005,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)OC(=O)N1CCCC1C(=O)N1CCC(c2noc3cc(F)ccc23)CC1,,,CHEMBL2311433,Eur J Med Chem,2013.0,,CHEMBL2313702,,CHEMBL2313702,,0,,1843597,,1,0,,,IC50,,,,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,,,,
,,12637006,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(C1CCCN1C(=O)Nc1ccc(Br)cc1)N1CCC(c2noc3cc(F)ccc23)CC1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '10.03', 'le': '0.21', 'lle': '0.04', 'sei': '6.57'}",CHEMBL2313701,,CHEMBL2313701,5.17,0,http://www.openphacts.org/units/Nanomolar,1843596,=,1,1,=,,IC50,nM,,6800.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,6.8
,,12637007,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(C1CCCN1C(=S)Nc1cccc(Br)c1)N1CCC(c2noc3cc(F)ccc23)CC1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '10.03', 'le': '0.22', 'lle': '0.03', 'sei': '8.65'}",CHEMBL2313700,,CHEMBL2313700,5.33,0,http://www.openphacts.org/units/Nanomolar,1843595,=,1,1,=,,IC50,nM,,4700.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,4.7
,,12637008,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(C1CCCN1C(=O)Nc1cccc(Br)c1)N1CCC(c2noc3cc(F)ccc23)CC1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '10.01', 'le': '0.21', 'lle': '0.03', 'sei': '6.56'}",CHEMBL2313699,,CHEMBL2313699,5.16,0,http://www.openphacts.org/units/Nanomolar,1843594,=,1,1,=,,IC50,nM,,6900.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,6.9
,,12637009,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(C1CCCN1C(=S)Nc1ccccc1Br)N1CCC(c2noc3cc(F)ccc23)CC1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '9.61', 'le': '0.21', 'lle': '-0.19', 'sei': '8.29'}",CHEMBL2313698,,CHEMBL2313698,5.11,0,http://www.openphacts.org/units/Nanomolar,1843593,=,1,1,=,,IC50,nM,,7800.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,7.8
